data;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
07-03-1974;0,0;0,0;0,0;0,0;5,0;2,6;6,1;1,0;0,0;5,4;0,0;41,0;0,0;19,0;0,0;0,0;22,0;0,0;30,0;22,0;9,4;28,0;9,4;11,0;5,6;0,0;6,4;0,0;8,9;15,8;5,0;1,2;0,0;3,2;29,0
08-03-1974;92,3;92,3;37,0;37,0;70,0;13,8;56,0;38,2;87,0;16,8;0,0;36,0;29,0;0,0;10,8;12,0;0,0;0,0;3,0;0,0;1,0;0,0;1,0;39,0;10,0;0,0;2,6;15,0;20,6;3,8;8,0;6,2;29,0;25,3;0,0
09-03-1974;10,0;10,0;9,0;9,0;23,3;83,4;6,0;67,6;67,4;19,0;80,0;27,0;25,0;24,8;37,2;15,0;0,0;0,0;3,0;0,0;4,2;0,0;4,2;66,0;4,0;0,0;25,4;18,0;26,0;0,0;54,0;1,0;25,0;0,0;0,0
10-03-1974;10,3;10,3;8,0;8,0;45,2;68,2;51,0;36,0;37,0;37,0;11,0;0,0;33,0;8,8;17,8;20,0;40,0;24,0;0,0;40,0;37,8;50,0;37,8;8,0;9,4;16,8;51,0;0,0;23,7;7,2;0,0;18,6;33,0;7,0;12,0
11-03-1974;90,0;90,0;19,0;19,0;3,3;1,1;6,0;11,4;67,6;3,8;46,0;21,0;0,0;0,0;3,0;6,0;0,0;10,0;25,0;0,0;0,0;0,0;0,0;74,0;13,2;6,0;27,2;0,0;0,0;21,0;33,0;1,3;0,0;40,2;23,0
12-03-1974;1,8;1,8;3,0;3,0;60,6;53,6;57,0;94,0;80,0;61,2;0,0;44,0;35,0;6,4;20,0;12,0;30,0;54,0;6,0;30,0;20,0;8,0;20,0;18,0;3,5;0,0;0,0;0,0;23,0;5,8;0,0;2,6;35,0;0,0;0,0
13-03-1974;24,3;24,3;19,0;19,0;0,0;2,9;0,0;0,1;25,0;9,2;0,0;35,0;8,0;0,0;1,0;28,0;0,0;1,0;3,0;0,0;0,2;6,0;0,2;15,0;0,0;0,0;2,0;0,0;0,0;3,8;12,0;1,4;8,0;10,0;60,0
14-03-1974;20,2;20,2;27,0;27,0;32,3;12,5;9,0;31,6;12,0;14,4;30,0;0,0;8,0;8,0;2,8;8,0;0,0;4,5;0,0;0,0;1,8;0,0;1,8;25,0;8,0;22,6;8,4;42,0;2,0;0,0;0,0;11,2;8,0;15,3;51,0
15-03-1974;0,0;0,0;9,0;9,0;20,8;29,2;0,0;13,4;0,0;13,4;5,0;6,0;0,0;0,0;1,4;3,0;3,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;13,0;0,0;9,2;0,0;21,2;7,0;0,0;5,0;0,0;9,2;13,0
16-03-1974;0,0;0,0;25,0;25,0;0,0;0,1;0,0;0,1;0,0;3,8;0,0;23,0;6,0;4,2;0,0;4,0;0,0;0,0;16,0;0,0;0,0;0,0;0,0;0,0;8,0;15,0;0,0;0,0;0,0;4,0;5,0;0,0;6,0;0,0;4,0
17-03-1974;0,0;0,0;2,0;2,0;0,0;1,0;8,0;3,0;0,0;6,0;0,0;13,0;5,0;0,0;3,8;4,0;17,0;1,5;0,0;17,0;30,0;9,0;30,0;0,0;0,0;0,0;16,0;0,0;16,8;0,0;0,0;8,3;5,0;4,2;0,0
18-03-1974;0,0;0,0;13,0;13,0;21,0;7,1;0,0;3,6;36,2;11,8;46,0;0,0;9,0;0,0;11,4;5,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;9,0;0,0;19,1;9,0;18,2;2,0
19-03-1974;7,2;7,2;2,0;2,0;0,0;1,2;16,0;0,0;0,0;7,6;0,0;0,0;10,0;9,8;10,6;18,0;75,0;1,5;0,0;75,0;7,0;9,0;7,0;0,0;0,0;0,0;0,0;0,0;1,6;17,0;0,0;0,0;10,0;17,0;26,0
20-03-1974;6,4;6,4;24,0;24,0;11,0;17,6;0,0;17,8;0,0;9,6;0,0;17,0;20,0;6,0;8,4;14,0;0,0;5,0;9,0;0,0;15,2;6,0;15,2;28,0;0,0;0,0;21,4;16,0;13,0;19,0;0,0;0,0;20,0;26,0;32,0
21-03-1974;53,0;53,0;12,0;12,0;5,2;22,9;15,0;7,6;10,4;24,0;0,0;0,0;0,0;0,0;42,6;6,0;13,0;1,2;0,0;13,0;5,4;3,0;5,4;55,0;0,0;0,0;6,8;13,0;41,2;8,4;26,0;3,0;0,0;25,2;0,0
22-03-1974;10,0;10,0;21,0;21,0;28,7;4,6;0,0;0,0;0,0;0,6;0,0;37,0;7,0;8,2;4,4;21,0;0,0;3,8;26,0;0,0;1,6;22,0;1,6;17,0;32,0;32,0;6,6;0,0;5,6;0,0;0,0;8,3;7,0;38,0;2,0
23-03-1974;41,3;41,3;30,0;30,0;10,1;34,8;19,0;10,0;0,0;31,6;33,0;15,0;10,0;5,0;18,4;19,5;3,0;14,0;27,0;3,0;23,8;5,0;23,8;4,0;0,0;45,3;36,0;0,0;38,0;36,0;12,0;41,3;10,0;0,0;0,0
24-03-1974;23,0;23,0;30,0;30,0;7,8;3,9;0,0;15,0;11,0;13,6;0,0;0,0;4,0;2,8;18,2;17,0;24,0;5,0;0,0;24,0;5,8;0,0;5,8;29,0;33,4;35,0;1,6;0,0;34,0;20,0;0,0;16,4;4,0;16,4;36,0
25-03-1974;0,2;0,2;45,0;45,0;0,0;0,0;45,0;14,0;0,0;22,4;60,0;0,0;0,0;0,0;2,0;0,0;2,0;25,0;0,0;2,0;21,0;21,0;21,0;18,0;28,4;25,0;25,3;20,0;3,1;64,8;32,0;8,2;0,0;42,2;12,0
26-03-1974;63,4;63,4;0,0;0,0;42,0;62,3;20,0;6,6;0,0;4,4;0,0;0,0;6,0;0,0;4,6;0,0;22,0;8,0;0,0;22,0;5,2;0,0;5,2;0,0;12,0;47,6;1,9;0,0;33,7;0,0;0,0;45,2;6,0;77,0;0,0
27-03-1974;31,0;31,0;0,0;0,0;0,0;0,4;0,0;13,6;8,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,4;0,0;0,0;0,0;0,0;0,0
28-03-1974;0,3;0,3;7,0;7,0;1,4;0,0;12,0;1,6;0,0;10,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,2;0,0;0,0;0,0;0,0;0,0;14,0;0,0;0,0;0,0;4,0;43,0;0,0;52,0;0,0;0,0;0,0;2,0
29-03-1974;5,1;5,1;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;9,0;0,0;0,0;0,0;28,4;0,0;0,0;1,2;0,0;0,0;67,0;5,0;67,0;9,0;15,0;23,0;5,4;0,0;2,5;0,0;0,0;9,0;0,0;0,0;0,0
30-03-1974;3,0;3,0;0,0;0,0;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0;0,0;14,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;7,4;12,0;0,0;0,0;0,0;0,0;0,0;0,0;27,0
31-03-1974;0,0;0,0;0,0;0,0;0,0;10,0;25,0;13,8;0,0;0,0;0,0;11,0;0,0;26,2;0,0;11,0;0,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,0;0,0
01-04-1974;20,0;20,0;26,0;26,0;0,0;2,7;7,0;10,0;33,2;2,8;0,0;0,0;0,0;0,0;14,2;31,0;0,0;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,6;5,0;0,0;2,5;18,0;25,0;0,0;0,0;56,0;5,5
02-04-1974;10,2;10,2;16,0;16,0;0,2;1,9;42,0;6,8;0,0;3,2;80,0;0,0;0,0;0,0;11,2;0,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;21,8;11,6;0,0;6,3;10,0;6,0;0,0;0,0;3,0;7,0
03-04-1974;0,0;0,0;64,0;64,0;15,8;37,2;10,0;1,0;0,0;5,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5;8,0;0,0;9,8;0,0;9,8;13,0;8,2;12,2;1,6;13,0;13,6;9,0;9,0;3,0;0,0;5,2;0,0
